362442421383929,5,362442421383934,1174,17,20,1174,1
362442421389571,3,362442421389573,1175,22,21,1175,1
362442421391571,7,362442421391576,1176,25,16,1176,1
362442471431777,5,362442471431782,935,19,20,935,1
362442471436346,4,362442471436349,936,16,17,936,1
362442471439125,5,362442471439130,937,20,16,937,1
362442521465543,4,362442521465544,817,23,18,817,1
362442521468970,4,362442521468972,818,21,16,818,1
362442571496559,5,362442571496561,1612,26,20,1612,1
362442571501608,5,362442571501612,1613,15,7,1613,1
362442571504630,5,362442571504631,1614,28,19,1614,1
